OR,OT
"CITY ORDINANCE NO. 812, s-2017",“AN ORDINANCE ESTABLISHING THE CIVIL SOCIETY ORGANIZATIONS DEVELOPMENT COUNCIL (CSODC) AND PROVIDING FUNDS THEREOF”.
"CITY ORDINANCE NO. 811, s-2017","“AN ORDINANCE DECLARING EVERY 2ND WEEK OF AUGUST OF EACH YEAR AS THE TAGUM CITY YOUTH FESTIVAL, CREATING ITS LOCAL STEERING COMMITTEE AND PROVIDING FUNDS THEREFOR”."
"CITY ORDINANCE NO. 810, s-2017",AN ORDINANCE ESTABLISHING HUMAN RIGHTS ACTION CENTERS AND PROVIDING FUNDS THEREOF.
"CITY ORDINANCE NO. 809, s-2017","“AN ORDINANCE PROHIBITING THE SNEAKING, USING AND CARRYING ANY FORMS OF CONTRABAND INSIDE JAIL AND DETENTION PLACES IN THE CITY OF TAGUM AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 808, s- 2017","“AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF VARIOUS ROADS WITHIN THE CITY OF TAGUM AS RACE ROUTES FOR MUSA MAN TRIDAVNOR (TRIATHLON RACE) ACTIVITY AS PART OF THE CELEBRATION OF THE 50TH ARAW NG DAVAO DEL NORTE ON JUNE 25, 2017 FROM 5:30 IN THE MORNING TO 12:30 IN THE AFTERNOON”."
"CITY ORDINANCE NO.807, s-2017","“AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF A PORTION OF CAPITOL AVENUE AND BOISER AVENUE, BARANGAY MANKILAM, TAGUM CITY, DAVAO DEL NORTE FROM JUNE 14, 2017 TO JULY 1, 2017 FOR THE CELEBRATION OF THE 50th ARAW NG DAVAO DEL NORTE”."
"CITY ORDINANCE NO. 804, s- 2017","AN ORDINANCE ESTABLISHING THE GUIDELINES IN THE APPOINTMENT OF BARANGAY SOCIAL WORKERS, DETERMINING THEIR POWERS, DUTIES AND FUNCTIONS, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 801, s-2017","AN ORDINANCE AMENDING THE ZONE ALONG THE DAANG MAHARLIKA FRONTING THE NATIONAL GRID CORPORATION OF THE PHILIPPINES (NGCP), PUROK 5-A MABINI, BARANGAY CANOCOTAN, TAGUM CITY FROM AGRICULTURAL ZONE (AGZ) TO INDUSTRIAL ZONE (I-3)."
"CITY ORDINANCE NO. 799, s- 2017","AN ORDINANCE ENFORCING AND IMPLEMENTING REPUBLIC ACT NO. 9439, OTHERWISE KNOWN AS “AN ACT PROHIBITING THE DETENTION OF PATIENTS IN HOSPITALS AND MEDICAL CLINICS ON GROUNDS OF NONPAYMENT OF HOSPITAL BILLS OR MEDICAL EXPENSES” AND ITS IMPLEMENTING RULES AND REGULATIONS, PRESCRIBING PENALTIES FOR CERTAIN ACTS AND OMISSIONS VIOLATIVE THEREOF AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 798, s- 2017","AN ORDINANCE ENFORCING AND STRENGTHENING REPUBLIC ACT NO. 8344, OTHERWISE KNOWN AS “AN ACT PENALIZING THE REFUSAL OF HOSPITALS AND MEDICAL CLINICS TO ADMINISTER APPROPRIATE INITIAL MEDICAL TREATMENT AND SUPPORT IN EMERGENCY OR SERIOUS CASES, AMENDING FOR THE PURPOSE BATAS PAMBANSA BILANG 702, OTHERWISE KNOWN AS ‘AN ACT PROHIBITING THE DEMAND OF DEPOSITS OR ADVANCE continue reading : CITY ORDINANCE NO. 798, s- 2017"
"CITY ORDINANCE NO. 803, S-2017","“AN ORDINANCE AMENDING ARTICLE IV, SECTION 2 OF CITY ORDINANCE NO. 383, SERIES OF 2009 OTHERWISE KNOWN AS THE COMPREHENSIVE WELFARE CODE FOR THE CHILDREN OF THE CITY OF TAGUM, AND FOR OTHER PURPOSES”."
"CITY ORDINANCE NO. 780, s- 2017","AN ORDINANCE ESTABLISHING THE BARANGAY AGRI WORKER TO BE KNOWN AS “BAW”, PRESCRIBING GUIDELINES AND PROVIDING FUNDS THEREOF"
"CITY ORDINANCE NO. 790, s-2016","AN ORDINANCE INSTITUTIONALIZING THE CONDUCT OF THE PAKARADYAN FESTIVAL IN THE CITY OF TAGUM, CREATING ITS SPECIAL COMMITTEE AND PROVIDING FUNDS THEREOF."
"CITY ORDINANCE NO. 782, S-2016",AN ORDINANCE RECOGNIZING THE FESTIVALS OF THE CITY OF TAGUM AND FIXING THE SCHEDULES OF THEIR CELEBRATION.
"CITY ORDINANCE NO. 791, s-2016","AN ORDINANCE AMENDING THE ORGANIZATIONAL STRUCTURE AND STAFFING PATTERN OF THE CITY GOVERNMENT OF TAGUM SPECIFICALLY THE OFFICE OF THE MAYOR AND VICE MAYOR AS ANNEXES TO CITY ORDINANCE NO. 187, S-2005."
"CITY ORDINANCE NO. 789, S-2016","AN ORDINANCE AMENDING SECTION 26 OF CITY ORDINANCE NO. 383, S-2009, OTHERWISE KNOWN AS THE COMPREHENSIVE WELFARE CODE FOR THE CHILDREN OF THE CITY OF TAGUM, AND FOR OTHER PURPOSES."
CITY ORDINANCE No. 787 s-2016,“AN ORDINANCE ESTABLISHING A CITY COOPERATIVE DEVELOPMENT COUNCIL AND PROVIDING FUNDS THEREOF”.
"CITY ORDINANCE NO. 772, S-2016","“AN ORDINANCE REQUIRING ALL GOVERNMENT OFFICES AND COMMERCIAL ESTABLISHMENTS IN THE CITY OF TAGUM TO PROVIDE EXPRESS LANES AND /OR PRIORITY FOR SENIOR CITIZENS, PERSONS WITH DISABLITIES AND PREGNANT WOMEN AT THE POINT OF SALE AND TRANSACTION AREAS AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF”."
"CITY ORDINANCE NO. 778, s-2016","“AN ORDINANCE AMENDING SECTION SIX (6) OF THE CITY ORDINANCE NO. 223, S-2006 – THE REVISED CODE OF ECONOMIC ENTERPRISES OF TAGUM CITY”."
"CITY ORDINANCE NO. 776 – s,2016",“AN ORDINANCE GRANTING PHILHEALTH TO TAGUM CITY GALLONER VOLUNTEER BLOOD DONORS AND PROVIDING ITS POLICIES AND GUIDELINES AND FUNDS THEREOF”.
"CITY ORDINANCE NO. 774, s- 2016",“AN ORDINANCE PRESCRIBING FEES AND CHARGES FOR THE USE OF PUBLIC RESTROOM/COMFORT ROOM AS MAINTENANCE FEE COVERING ALL ECONOMIC ENTERPRISES OPERATED AND MANAGED BY THE CITY GOVERNMENT OF TAGUM”.
"CITY ORDINANCE NO. 775, s- 2016","“AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF PORTION OF BONIFACIO STREET, BARANGAY MAGUGPO POBLACION, TAGUM CITY, DAVAO DEL NORTE FOR THE 59TH FOUNDING ANNIVERSARY OF LIVING TEMPLE, FOURSQUARE GOSPEL CHURCH ON AUGUST 28, 2016 FROM 6AM TO 4PM”."
"CITY ORDINANCE NO. 771, s-2016","“AN ORDINANCE DECLARING EVERY 3RD WEEK OF JULY AS THE TAGUM CITY PRIDE FESTIVAL, CREATING ITS LOCAL STEERING COMMITTEE AND PROVIDING FUNDS THEREFOR”."
"CITY ORDINANCE NO. 770, s-2016",“AN ORDINANCE ESTABLISHING THE BASIC EDUCATIONAL AID PROGRAM (BEAP) OF TAGUM CITY AND PROVIDING FUNDS FOR THE IMPLEMENTATION THEREOF”.
"CITY ORDINANCE NO. 769, s-2016","“AN ORDINANCE GRANTING BURIAL ASSISTANCE TO VETERANS SURVIVING SPOUSES IN TAGUM CITY, DAVAO DEL NORTE”."
"CITY ORDINANCE NO. 763, s-2016","“AN ORDINANCE INSTITUTIONALIZING THE HUGPONG SERBISYO PARA SA TAGUMENYOS FESTIVAL, PRESCRIBING ITS GUIDELINES AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 770, s-2016",“AN ORDINANCE ESTABLISHING THE BASIC EDUCATIONAL AID PROGRAM (BEAP) OF TAGUM CITY AND PROVIDING FUNDS FOR THE IMPLEMENTATION THEREOF”.
"CITY ORDINANCE NO. 765, s-2016","“AN ORDINANCE INSTITUTIONALIZING THE TABANG ESKWELA PROGRAM, PRESCRIBING ITS GUIDELINES AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 760, s- 2016",AN ORDINANCE GRANTING INCENTIVES TO ALL QUALIFIED BARANGAY SANITARY INSPECTOR (BSI) IN THE CITY OF TAGUM AND PROVIDING FOR ITS POLICIES AND GUIDELINES AND FUNDS THEREOF OTHERWISE KNOWN AS “THE BARANGAY SANITARY INSPECTOR CODE OF THE CITY OF TAGUM”.
"CITY ORDINANCE NO. 761, s-2016","“AN ORDINANCE ENGAGING THE INDIGENOUS CULTURAL COMMUNITIES/INDIGENOUS PEOPLES (ICCs/IPs) TO DIRECTLY AND FULLY PARTICIPATE IN LOCAL GOVERNANCE, AUTHORIZING THE PROVISION OF FUNDS FOR THE EFFICIENT AND EFFECTIVE IMPLEMENTATION HEREOF AND FOR OTHER PURPOSES”."
"CITY ORDINANCE NO. 762, s-2016","“AN ORDINANCE ESTABLISHING THE BARANGAY PARTICIPATION IN THE ADMINISTRATION OF REAL PROPERTY TAXATION IN TAGUM CITY, PRESCRIBING ITS ROLE AND ASSISTANCE AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 766, s-2016",“AN ORDINANCE RECOGNIZING THE ROLE OF OFW FAMILY CIRCLE IN THE LOCAL GOVERNANCE OF TAGUM CITY”.
"CITY ORDINANCE NO. 767, s-2016","“AN ORDINANCE ENGAGING THE MUSLIM COMUNITIES (MC) TO DIRECTLY AND FULLY PARTICIPATE IN LOCAL GOVERNANCE, AUTHORIZING THE PROVISION OF FUNDS FOR THE EFFICIENT AND EFFECTIVE IMPLEMENTATION HEREOF AND FOR OTHER PURPOSES”."
"CITY ORDINANCE NO. 768, s-2016",“AN ORDINANCE REQUIRING THE BARANGAY LOCAL GOVERNMENT UNIT (BLGU) TO STRENGTHEN THE IMPLEMENTATION OF THE SOLID WASTE MANAGEMENT LAWS AND REQUIRING ALL BARANGAYS TO SUBMIT THE MONTHLY WASTE DIVERSION REPORT EVERY TWO MONTHS”.
"CITY ORDINANCE NO. 758, s-2016","AN ORDINANCE GRANTING INCENTIVES TO ALL QUALIFIED BARANGAY HEALTH WORKERS (BHW) IN THE CITY OF TAGUM AND PROVIDING FOR ITS POLICIES AND GUIDELINES AND FUNDS THEREOF, OTHERWISE KNOWN AS “THE BARANGAY HEALTH WORKERS CODE OF THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 757, s- 2016",AN ORDINANCE GRANTING INCENTIVES TO ALL QUALIFIED BARANGAY NUTRITION SCHOLARS (BNS) IN THE CITY OF TAGUM AND PROVIDING FOR ITS POLICIES AND GUIDELINES AND FUNDS THEREOF OTHERWISE KNOWN AS “THE BARANGAY NUTRITION SCHOLARS CODE OF THE CITY OF TAGUM”.
"ORDINANCE NO. 764, s-2016",“AN ORDINANCE INSTITUTIONALIZING THE SULONG DUNONG EDUCATIONAL ASSISTANCE PROGRAMOF THE CITY OF TAGUM AND PROVIDING FUNDS THEREOF”.
"CITY ORDINANCE NO. 749, s- 2016",“AN ORDINANCE GRANTING SENIOR CITIZENS FREE MOVIE ACCESS TO ALL MOVIE THEATERS IN THE CITY OF TAGUM”.
"CITY ORDINANCE NO. 759, s-2016","“AN ORDINANCE INSTITUTIONALIZING THE GROW MICRO PROGRAM, PRESCRIBING ITS GUIDELINES AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 754, s-2016","“AN ORDINANCE RECOGNIZING THE CONVERSION OF DAY CARE TEACHERS AS CHILD DEVELOPMENT TEACHERS, SUBJECT TO THE PROVISIONS OF CITY ORDINANCE NO. 647, SERIES OF 2013, AS AMENDED, AND INCREASING ITS BENEFITS”."
"CITY ORDINANCE NO. 756, s-2016","“AN ORDINANCE ESTABLISHING THE MEDICAL AND SURGICAL ASSISTANCE PROGRAM, PRESCRIBING ITS GUIDELINES AND PROVIDING FUNDS FOR THE PURPOSE”."
"CITY ORDINANCE NO. 752, s-2016",“AN ORDINANCE INSTITUTIONALIZING THE BARANGAY CIVIL REGISTRATION SYSTEM “BCRS” AS GRASSROOTS MECHANISM THAT WILL ESTABLISH A SYSTEM OF RECORDING OF ALL INHABITANTS IN THE BARANGAYS OF TAGUM CITY”.
"CITY ORDINANCE NO. 753, s-2016","”AN ORDINANCE ESTABLISHING THE LEGAL EDUCATION AND ASSISTANCE PROGRAM, PRESCRIBING ITS POLICIES AND GUIDELINES AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 755, s-2016","“AN ORDINANCE ESTABLISHING THE FUNERAL ASSISTANCE PROGRAM FOR THE INDIGENT TAGUMENYOS, PROVIDING ITS MANAGEMENT, PROCEDURES AND GUIDELINES AND APPROPRIATING FUNDS THEREOF”."
"ORDINANCE NO. 750, s-2016","AN ORDINANCE ENACTING THE TAGUM CITY CODE ON PUBLIC-PRIVATE PARTNERSHIP APPROACH TO DEVELOPMENT, PRESCRIBING PROCEDURES FOR SELECTING PRIVATE SECTOR PROPONENTS (PSPs), ADOPTING A CONTRACT MANAGEMENT FRAMEWORK CONCEPT, PROVIDING APPROPRIATIONS, AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 738, s-2016",AN ORDINANCE STRENGTHENING THE CLINICS IN PUBLIC ELEMENTARY AND SECONDARY SCHOOLS WITHIN THE TERRITORIAL JURISDICTION OF THE CITY OF TAGUM.
"CITY ORDINANCE NO. 736, s-2016","“AN ORDINANCE MANDATING ALL PERSONS, ENTITIES, AND BUSINESS ESTABLISHMENTS IN TAGUM CITY TO ALLOW WITH PRIORITY AND NOT TO CHARGE ANY FEE TO SENIOR CITIZENS AND PERSONS WITH DISABILITIES FOR THE USE OF ANY RESTROOM OR COMFORT ROOM, AND PROVIDING PENALTIES THEREOF”"
"CITY ORDINANCE NO. 748, s- 2016",“AN ORDINANCE PROMULGATING THE REVISED GUIDELINES FOR THE ESTABLISHMENT OF “TAGUM CITY HOMES”
"CITY ORDINANCE NO. 737, S-2016",“AN ORDINANCE ESTABLISHING THE PERSONS WITH DISABILITY AFFAIRS OFFICE IN THE CITY OF TAGUM AND PROVIDING FUNDS THEREOF”
"CITY ORDINANCE NO. 746, s-2016","“AN ORDINANCE CHANGING THE LAND UTILIZATION OF A PARCEL OF LAND OWNED BY THE CITY GOVERNMENT OF TAGUM LOCATED AT BARANGAY MAGDUM, TAGUM CITY FROM ITS ORIGINAL USE AS FOOD TERMINAL TO SCHOOL SITE”"
"CITY ORDINANCE NO. 716, s-2015",AN ORDINANCE CREATING THE LOCAL STEERING COMMITTEE FOR THE PROPER OBSERVANCE OF THE FAMILY WEEK CELEBRATION EVERY LAST WEEK OF SEPTEMBER AND PROVIDING FUNDS THEREFOR.
"CITY ORDINANCE NO. 743, S-2015",AN ORDINANCE POSTPONING THE 2015 ELECTION OF PUROK OFFICIALS AND TO BE CONDUCTED AFTER THE ASSUMPTION OF THE NEWLY ELECTED BARANGAY OFFICIALS.
"CITY ORDINANCE NO. 714,s- 2015","AN ORDINANCE PROVIDING THE GUIDELINES FOR THE EFFECTIVE IMPLEMENTATION IN THE CITY OF TAGUM OF REPUBLIC ACT NO. 9482, OTHERWISE KNOWN AS THE ANTI RABIES ACT OF 2007."
"CITY ORDINANCE NO. 726, s-2015","“AN ORDINANCE ADOPTING THE INTEGRATED ZONING REGULATIONS OF THE CITY OF TAGUM FOR 2011 – 2025 AND PROVIDING FOR THE ADMINISTRATION, ENFORCEMENT AND AMENDMENT THEREOF AND FOR THE REPEAL OF ALL ORDINANCES IN CONFLICT THEREWITH”."
"CITY ORDINANCE NO. 734, s- 2015","AN ORDINANCE INSTITUTIONALIZING THE TAGUM CITY FEDERATION OF SENIOR CITIZENS’ ASSOCIATIONS, PROVIDING ITS ORGANIZATION, PARTICIPATION AND INTEGRATION IN THE PROGRAMS OF THE CITY GOVERNMENT OF TAGUM, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 708, s-2015",“AN ORDINANCE ENACTING THE TAGUM CITY TOURISM CODE.”
"CITY ORDINANCE NO. 707, s- 2015",“AN ORDINANCE PROVIDING FOR THE HEALTH AND SANITATION CODE OF THE CITY OF TAGUM”
"CITY ORDINANCE NO. 717, S- 2015",“AN ORDINANCE CREATING TAGUM CITY OVERSEAS FILIPINO WORKER (OFW) COORDINATING COUNCIL AND PROVIDING FOR FUNDS THEREOF”.
"CITY ORDINANCE 727, s- 2015","AN ORDINANCE REVISING MUNICIPAL ORDINANCE NO. 49, s-1989 “AN ORDINANCE ESTABLISHING THE GUIDELINES IN THE ORGANIZATION OF PUROKS”."
"CITY ORDINANCE NO. 725, s-2015","“AN ORDINANCE APPROVING AND RATIFYING THE TERMS AND CONDITIONS CONTAINED IN THE TERM LOAN AGREEMENT AND DEED OF ASSIGNMENT WITH HOLD-OUT ENTERED INTO BY HON. ALLAN L. RELLON, DPA, PhD, CITY MAYOR/CHAIRPERSON LOCAL SCHOOL BOARD, IN BEHALF OF THE CITY GOVERNMENT OF TAGUM, DAVAO DEL NORTE, WITH THE DEVELOPMENT BANK OF THE PHILIPPINES INVOLVING THE continue reading : CITY ORDINANCE NO. 725, s-2015"
"CITY ORDINANCE NO. 721, S-2015","AN ORDINANCE AMENDING CHAPTER 6 SECTION 18 (C), CHAPTER 7 SECTION 23 (A), (A – NO. 3), CHAPTER 7 SECTION 24 (A), CHAPTER 7 SECTION 25 (A) OF THE CITY ORDINANCE NO. 661, S-2014 “AN ORDINANCE ENACTING THE TAGUM CITY INVESTMENT INCENTIVE CODE”."
"CITY ORDINANCE NO. 709, s-2015",“AN ORDINANCE GRANTING PERSONS WITH DISABILITY FREE MOVIE ACCESS TO ALL MOVIE THEATERS IN THE CITY OF TAGUM”.
"CITY ORDINANCE NO. 719, s-2015","“AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF PORTION OF BONIFACIO STREET, BARANGAY MAGUGPO POBLACION, TAGUM CITY, DAVAO DEL NORTE FOR THE 58TH FOUNDING ANNIVERSARY OF THE LIVING TEMPLE, FOURSQUARE GOSPEL CHURCH ON AUGUST 23, 2015”."
"CITY ORDINANCE NO. 715, s-2015",“AN ORDINANCE STRENGTHENING THE VIOLENCE AGAINST WOMEN AND CHILDREN (VAWC) DESK IN EVERY BARANGAY OF TAGUM CITY AND PROVIDING FUNDS THEREFOR”.
"CITY ORDINANCE NO.710, SERIES OF 2015","“AN ENABLING ORDINANCE ADOPTING REPUBLIC ACT NO. 8972, OTHERWISE KNOWN AS AN “ACT PROVIDING FOR BENEFITS AND PRIVILEGES TO SOLO PARENTS AND THEIR CHILDREN, APPROPRIATING FUNDS AND FOR OTHER PURPOSES” AND PROVIDING GUIDELINES FOR ITS EFFECTIVE IMPLEMENTATION IN THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 718, s-2015","AN ORDINANCE AMENDING CHAPTER 7, ARTICLE O (TRANSITORY PROVISIONS), SECTION 274 COVERING TAGUM CITY ECONOMIC ENTERPRISE OF TAX ORDINANCE NO. 07-001 KNOWN AS THE REVENUE CODE OF THE CITY OF TAGUM."
"CITY ORDINANCE 705, S-2015",AN ORDINANCE ADOPTING THE REVISED RULES AND REGULATIONS GOVERNING ACCREDITATION OF CIVIL SOCIETY ORGANIZATIONS (CSOs).
"CITY ORDINANCE NO. 703, s-2015","“AN ORDINANCE FOR THE REGULATION OF SMOKING IN PUBLIC PLACES, INCLUDING PUBLIC CONVEYANCES, SELLING, ADVERTISEMENTS, PROMOTIONS AND SPONSORSHIP OF TOBACCO PRODUCTS, AND PROVIDING PENALTIES THEREFOR, IN ACCORDANCE WITH THE TOBACCO REGULATION ACT OF 2003 AND ITS IMPLEMENTING RULES AND PROVIDING FUNDS THEREOF.”"
"CITY ORDINANCE NO. 706, S- 2015","“AN ORDINANCE AUTHORIZING HON. ALLAN L. RELLON, DPA, CITY MAYOR/CHAIRPERSON LOCAL SCHOOL BOARD TO REPRESENT THE CITY GOVERNMENT OF TAGUM FOR THE AVAILMANT OF A TERM LOAN WITH THE DEVELOPMENT BANK OF THE PHILIPPINES WITH THE APPLICABLE TERMS AND CONDITIONS IN THE AMOUNT OF EIGHTY MILLION PESOS (P80,000,000.00) TO FUND THE CONSTRUCTION OF SCHOOL BUILDINGS/CLASSROOMS.”"
"CITY ORDINANCE NO. 686, S- 2015","AN ORDINANCE IMPLEMENTING AND ENFORCING THE PROVISIONS OF REPUBLIC ACT NO. 9994, OTHERWISE KNOWN AS THE “EXPANDED SENIOR CITIZENS ACT OF 2010” AND ITS IMPLEMENTING RULES AND REGULATIONS, PRESCRIBING PENALTIES FOR CERTAIN ACTS OR OMISSIONS VIOLATIVE OF THIS ORDINANCE, AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 702, s-2014","AN ORDINANCE GRANTING BURIAL ASSISTANCE TO WORLD WAR II AND KOREAN WAR VETERANS AND THOSE WHO SERVE IN THE ANTI –DISSIDENCE CAMPAIGN WHO ARE RESIDENTS OF TAGUM CITY IN THE AMOUNT OF TEN THOUSAND (P 10,000.00) PESOS EACH AND APPROPRIATING FUNDS THEREOF."
"ORDINANCE NO. 695, S-2014",AN ORDINANCE IMPOSING RATES FOR RENTAL OF EQUIPMENT/VEHICLES OWNED BY THE CITY GOVERNMENT OF TAGUM.
"ORDINANCE NO. 696, S-2014",AN ORDINANCE REGULATING THE OPERATION OF BINGO AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF.
"CITY ORDINANCE NO. 691, s-2014","“AN ORDINANCE EMPOWERING THE BARANGAY TANODS AS STEWARDS OF PEACE AND ORDER WITHIN THE CITY OF TAGUM AND PROVIDING FOR ITS DUTIES, RESPONSIBILITIES AND FUNDS THEREOF”."
"CITY ORDINANCE NO. 657, s-2014","“AN ORDINANCE REGULATING THE OPENING AND OPERATION OF TECHNICAL VOCATIONAL INSTITUTIONS (TVIs) AND THE OFFERING OF COURSES/PROGRAMS IN THESE SCHOOLS IN THE CITY OF TAGUM, DAVAO DEL NORTE AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF”."
"CITY ORDINANCE NO. 686, S- 2014","AN ORDINANCE IMPLEMENTING AND ENFORCING THE PROVISIONS OF REPUBLIC ACT NO. 9994, OTHERWISE KNOWN AS THE “EXPANDED SENIOR CITIZENS ACT OF 2010” AND ITS IMPLEMENTING RULES AND REGULATIONS, PRESCRIBING PENALTIES FOR CERTAIN ACTS OR OMISSIONS VIOLATIVE OF THIS ORDINANCE, AND FOR OTHER PURPOSES."
"CITY ORDINANCE NO. 675, s-2014","AN ORDINANCE ESTABLISHING A BIRTHING FACILITY (PAANAKAN) IN THE CITY OF TAGUM, DAVAO DEL NORTE AND PRESCRIBING THE RULES AND REGULATIONS THEREOF."
"CITY ORDINANCE NO. 688, s-2014","AN ORDINANCE AMENDING SECTION 12 OF CITY ORDINANCE NO 488, S-2010, “AN ORDINANCE PROVIDING POLICIES AND GUIDELINES FOR THE ESTABLISHMENT AND OPERATION OF THE TAGUM CITY BARANGAY NUTRITION SCHOLARS (BNS) AND PROVIDING FOR ITS DUTIES AND RESPONSIBILITES AND FUNDS THEREOF”"
"CITY ORDINANCE NO. 687, s-2014","AN ORDINANCE AMENDING SECTION 4 OF CITY ORDINANCE NO. 616, S-2012 ENTITLED, “AN ORDINANCE APPROVING THE NEW GUIDELINES IN THE GRANTING OF MEDICAL/ SEPARATION/DISABILITY/DEATH BENEFITS TO ALL QUALIFIED BARANGAY HEALTH WORKERS (BHWs) IN TAGUM CITY."
"CITY ORDINANCE NO. 682, s-2014",AN ORDINANCE GRANTING BURIAL ASSISTANCE TO SENIOR CITIZENS OF TAGUM CITY AND APPROPRIATING FUNDS FOR THE PURPOSE THEREOF.
"CITY ORDINANCE NO. 677, s-2014","AN ORDINANCE AMENDING SECTION 9 AND SECTION 10 OF CITY ORDINANCE NO. 246, s- 2007 “AN ORDINANCE ESTABLISHING THE CITY VOCATIONAL/TECHNICAL EDUCATIONAL SCHOLARSHIP PROGRAM (CIVOTESPRO) OF TAGUM CITY AND PROVIDING GUIDELINES FOR IMPLEMENTATION THEREOF”."
